7zip	26.02-1.fc44
ImageMagick	7.1.2.27-1.fc44
ImageMagick-libs	7.1.2.27-1.fc44
LCEVCdec	4.2.0-1.fc44
LibRaw	0.22.2-1.fc44
ModemManager	1.24.2-3.fc44
ModemManager-glib	1.24.2-3.fc44
NetworkManager	1.56.1-2.fc44
NetworkManager-adsl	1.56.1-2.fc44
NetworkManager-bluetooth	1.56.1-2.fc44
NetworkManager-config-connectivity-fedora	1.56.1-2.fc44
NetworkManager-libnm	1.56.1-2.fc44
NetworkManager-openconnect	1.2.10-11.fc44
NetworkManager-openconnect-gnome	1.2.10-11.fc44
NetworkManager-openvpn	1.12.5-4.fc44
NetworkManager-openvpn-gnome	1.12.5-4.fc44
NetworkManager-ppp	1.56.1-2.fc44
NetworkManager-ssh	1.4.5-2.fc44
NetworkManager-ssh-gnome	1.4.5-2.fc44
NetworkManager-ssh-selinux	1.4.5-2.fc44
NetworkManager-vpnc	1.4.0-6.fc44
NetworkManager-vpnc-gnome	1.4.0-6.fc44
NetworkManager-wifi	1.56.1-2.fc44
NetworkManager-wwan	1.56.1-2.fc44
OpenCL-ICD-Loader	3.0.6-7.20250722gitad770a1.fc44
PackageKit-glib	1.3.6-1.fc44
SDL3	3.4.14-1.fc44
aardvark-dns	1.17.1-1.fc44
abattis-cantarell-fonts	0.301-17.fc44
abattis-cantarell-vf-fonts	0.301-17.fc44
abseil-cpp	20260107.1-1.fc44
accountsservice	23.13.9-16.fc44
accountsservice-libs	23.13.9-16.fc44
acl	2.4.0-1.fc44
adcli	0.9.3.1-5.fc44
adcli-selinux	0.9.3.1-5.fc44
adobe-mappings-cmap	20231115-5.fc44
adobe-mappings-cmap-deprecated	20231115-5.fc44
adobe-mappings-pdf	20190401-12.fc44
adobe-source-code-pro-fonts	2.042.1.062.1.026-9.fc44
adw-gtk3-theme	6.4-3.fc44
adwaita-cursor-theme	50.0-1.fc44
adwaita-fonts-all	50.0-1.fc44
adwaita-icon-theme	50.0-1.fc44
adwaita-icon-theme-legacy	46.2-7.fc44
adwaita-mono-fonts	50.0-1.fc44
adwaita-sans-fonts	50.0-1.fc44
alsa-firmware	1.2.4-17.fc44
alsa-lib	1.2.16.1-1.fc44
alsa-sof-firmware	2025.12.2-1.fc44
alsa-tools-firmware	1.2.15-4.fc44
alsa-ucm	1.2.16.1-1.fc44
alsa-utils	1.2.16-1.fc44
alternatives	1.33-5.fc44
amd-gpu-firmware	20260622-1.fc44
amd-ucode-firmware	20260622-1.fc44
anthy-unicode	1.0.0.20260213-1.fc44
antiword	0.37-44.fc44
appstream	1.1.3-1.fc44
appstream-data	44-4.fc44
apr	1.7.6-5.fc44
apr-util	1.6.3-27.fc44
apr-util-lmdb	1.6.3-27.fc44
apr-util-openssl	1.6.3-27.fc44
argyllcms	3.4.1-4.fc44
argyllcms-data	3.4.1-4.fc44
aribb24	1.0.3^20160216git5e9be27-5.fc44
at-spi2-atk	2.60.6-1.fc44
at-spi2-core	2.60.6-1.fc44
atheros-firmware	20260622-1.fc44
atk	2.60.6-1.fc44
