# element	name	version
bluefin-alsa-utils.bst	alsa-utils	
bluefin-bindmounts.bst	bindmounts	
bluefin-bootc-install-config.bst	bootc-install-config	
bluefin-brew-tarball.bst	brew-tarball	
bluefin-brew.bst	brew	
bluefin-brlaser.bst	brlaser	
bluefin-common.bst	common	
bluefin-composefs-loop-udisks-ignore.bst	composefs-loop-udisks-ignore	
bluefin-deps.bst	deps	
bluefin-distrobox.bst	distrobox	
bluefin-efibootmgr.bst	efibootmgr	
bluefin-fastfetch.bst	fastfetch	
bluefin-firstboot-date.bst	firstboot-date	
bluefin-firstboot-services.bst	firstboot-services	
bluefin-flatpak-apps.bst	flatpak-apps	
bluefin-fprintd-fingerprint-auth.bst	fprintd-fingerprint-auth	
bluefin-fprintd-system-auth.bst	fprintd-system-auth	
bluefin-ghostty.bst	ghostty	
bluefin-gnome-epub-thumbnailer.bst	gnome-epub-thumbnailer	
bluefin-gnome-ponytail-daemon.bst	gnome-ponytail-daemon	
bluefin-gnome-shell-extensions.bst	gnome-shell-extensions	
bluefin-gtk4-layer-shell.bst	gtk4-layer-shell	
bluefin-gum.bst	gum	
bluefin-just-overrides.bst	just-overrides	
bluefin-libvirt.bst	libvirt	
bluefin-migrate-var-home-passwd.bst	migrate-var-home-passwd	
bluefin-nautilus-python.bst	nautilus-python	
bluefin-nerd-fonts-symbols.bst	nerd-fonts-symbols	
bluefin-network.bst	network	
bluefin-plymouth-bluefin-theme.bst	plymouth-bluefin-theme	
bluefin-shell-extensions-app-indicators.bst	app-indicators	
bluefin-shell-extensions-bazaar-companion.bst	bazaar-companion	
bluefin-shell-extensions-blur-my-shell.bst	blur-my-shell	
bluefin-shell-extensions-budslink-companion.bst	budslink-companion	
bluefin-shell-extensions-caffeine.bst	caffeine	
bluefin-shell-extensions-custom-command-menu.bst	custom-command-menu	
bluefin-shell-extensions-dash-to-dock.bst	dash-to-dock	
bluefin-shell-extensions-disable-ext-validator.bst	disable-ext-validator	
bluefin-shell-extensions-fuzzy-application-search.bst	fuzzy-application-search	
bluefin-shell-extensions-gradia-capture.bst	gradia-capture	
bluefin-shell-extensions-gsconnect.bst	gsconnect	
bluefin-shell-extensions-power-status-color.bst	power-status-color	
bluefin-shell-extensions-quick-settings-audio-panel.bst	quick-settings-audio-panel	
bluefin-shell-extensions-quicksettings-audio-devices-hider.bst	quicksettings-audio-devices-hider	
bluefin-shell-extensions-quicksettings-audio-devices-renamer.bst	quicksettings-audio-devices-renamer	
bluefin-shell-extensions-syncthing-toggle.bst	syncthing-toggle	
bluefin-shell-extensions-tailscale-qs.bst	tailscale-qs	
bluefin-shell-extensions-tilingshell.bst	tilingshell	
bluefin-sudo-rs.bst	sudo-rs	
bluefin-swapfile.bst	swapfile	
bluefin-syncthing.bst	syncthing	
bluefin-tailscale-setup.bst	tailscale-setup	
bluefin-tailscale.bst	tailscale	
bluefin-tealdeer.bst	tealdeer	
bluefin-udev-groups.bst	udev-groups	
bluefin-umotd.bst	umotd	
bluefin-unsigned-modules.bst	unsigned-modules	
bluefin-user-avatars.bst	user-avatars	
bluefin-uupd.bst	uupd	
bluefin-uutils-coreutils.bst	uutils-coreutils	
bluefin-uwelcome.bst	uwelcome	
bluefin-virtualization.bst	virtualization	
bluefin-vte.bst	vte	
bluefin-wallpaper-month.bst	wallpaper-month	
bluefin-wallpapers.bst	wallpapers	
bluefin-wireplumber-pcsp.bst	wireplumber-pcsp	
bluefin-xdg-terminal-exec.bst	xdg-terminal-exec	
bluefin-ydotool.bst	ydotool	
bluefin-zig.bst	zig	
bluefin-zswap-config.bst	zswap-config	
core-linux-fdsdk.bst	linux-fdsdk	
core-meta-gnome-core-apps.bst	meta-gnome-core-apps	
core-ntsync-modules-load.bst	ntsync-modules-load	
core-sandbox-tools.bst	sandbox-tools	
core-syncthing-go.bst	syncthing-go	
freedesktop-sdk.bst-bootstrap-acl.bst	acl	
freedesktop-sdk.bst-bootstrap-attr.bst	attr	
freedesktop-sdk.bst-bootstrap-base-sdk-autoconf.bst	autoconf	
freedesktop-sdk.bst-bootstrap-base-sdk-autoconf2.69.bst	autoconf2.69	
freedesktop-sdk.bst-bootstrap-base-sdk-automake.bst	automake	
freedesktop-sdk.bst-bootstrap-base-sdk-binary-seed-x86-64.bst	binary-seed-x86_64	
freedesktop-sdk.bst-bootstrap-base-sdk-binary-seed.bst	binary-seed	
freedesktop-sdk.bst-bootstrap-base-sdk-bison.bst	bison	
freedesktop-sdk.bst-bootstrap-base-sdk-flex.bst	flex	
freedesktop-sdk.bst-bootstrap-base-sdk-gettext.bst	gettext	
freedesktop-sdk.bst-bootstrap-base-sdk-libtool.bst	libtool	
freedesktop-sdk.bst-bootstrap-base-sdk-m4.bst	m4	
freedesktop-sdk.bst-bootstrap-base-sdk-perl.bst	perl	
freedesktop-sdk.bst-bootstrap-base-sdk-pkg-config.bst	pkg-config	
freedesktop-sdk.bst-bootstrap-base-sdk-tar.bst	tar	
freedesktop-sdk.bst-bootstrap-base-sdk-texinfo.bst	texinfo	
freedesktop-sdk.bst-bootstrap-base-sdk-xxhash.bst	xxhash	
freedesktop-sdk.bst-bootstrap-base-sdk-zstd.bst	zstd	
freedesktop-sdk.bst-bootstrap-bash.bst	bash	
freedesktop-sdk.bst-bootstrap-binutils.bst	binutils	
freedesktop-sdk.bst-bootstrap-build-binutils-stage1.bst	binutils-stage1	
freedesktop-sdk.bst-bootstrap-build-coreutils-manpages.bst	coreutils-manpages	
freedesktop-sdk.bst-bootstrap-build-debug-utils.bst	debug-utils	
freedesktop-sdk.bst-bootstrap-build-debugedit-build.bst	debugedit-build	
freedesktop-sdk.bst-bootstrap-build-dwz-build.bst	dwz-build	
freedesktop-sdk.bst-bootstrap-build-elfutils-build.bst	elfutils-build	
freedesktop-sdk.bst-bootstrap-build-file-stage1.bst	file-stage1	
freedesktop-sdk.bst-bootstrap-build-gcc-stage1.bst	gcc-stage1	
freedesktop-sdk.bst-bootstrap-build-gcc-stage2.bst	gcc-stage2	
freedesktop-sdk.bst-bootstrap-build-libgcc-s.bst	libgcc_s	
freedesktop-sdk.bst-bootstrap-build-ncurses-stage1.bst	ncurses-stage1	
freedesktop-sdk.bst-bootstrap-build-python3.bst	python3	
freedesktop-sdk.bst-bootstrap-build-rsync.bst	rsync	
freedesktop-sdk.bst-bootstrap-build-stripper.bst	stripper	
freedesktop-sdk.bst-bootstrap-bzip2.bst	bzip2	
freedesktop-sdk.bst-bootstrap-coreutils.bst	coreutils	
freedesktop-sdk.bst-bootstrap-debugedit.bst	debugedit	
freedesktop-sdk.bst-bootstrap-diffutils.bst	diffutils	
freedesktop-sdk.bst-bootstrap-dwz.bst	dwz	
freedesktop-sdk.bst-bootstrap-elfutils.bst	elfutils	
freedesktop-sdk.bst-bootstrap-file.bst	file	
freedesktop-sdk.bst-bootstrap-findutils.bst	findutils	
freedesktop-sdk.bst-bootstrap-gawk.bst	gawk	
freedesktop-sdk.bst-bootstrap-gcc.bst	gcc	
freedesktop-sdk.bst-bootstrap-glibc.bst	glibc	
freedesktop-sdk.bst-bootstrap-gnu-config.bst	gnu-config	
freedesktop-sdk.bst-bootstrap-go.bst	go	
freedesktop-sdk.bst-bootstrap-grep.bst	grep	
freedesktop-sdk.bst-bootstrap-gzip.bst	gzip	
freedesktop-sdk.bst-bootstrap-libselinux.bst	libselinux	
freedesktop-sdk.bst-bootstrap-libsepol.bst	libsepol	
freedesktop-sdk.bst-bootstrap-libxcrypt.bst	libxcrypt	
freedesktop-sdk.bst-bootstrap-linux-headers.bst	linux-headers	
freedesktop-sdk.bst-bootstrap-make.bst	make	
freedesktop-sdk.bst-bootstrap-ncurses-pkgconfig-dir.bst	ncurses-pkgconfig-dir	
freedesktop-sdk.bst-bootstrap-ncurses.bst	ncurses	
freedesktop-sdk.bst-bootstrap-pcre2.bst	pcre2	
freedesktop-sdk.bst-bootstrap-readline.bst	readline	
freedesktop-sdk.bst-bootstrap-sed.bst	sed	
freedesktop-sdk.bst-bootstrap-stripper.bst	stripper	
freedesktop-sdk.bst-bootstrap-symlinks.bst	symlinks	
freedesktop-sdk.bst-bootstrap-xxhash.bst	xxhash	
freedesktop-sdk.bst-bootstrap-xz.bst	xz	
freedesktop-sdk.bst-bootstrap-zlib-ng.bst	zlib-ng	
freedesktop-sdk.bst-bootstrap-zstd.bst	zstd	
freedesktop-sdk.bst-components--private-apparmor-base.bst	apparmor-base	
freedesktop-sdk.bst-components--private-avahi-base.bst	avahi-base	
freedesktop-sdk.bst-components--private-bluez-base.bst	bluez-base	
freedesktop-sdk.bst-components--private-bpf.bst	bpf	
freedesktop-sdk.bst-components--private-buildsystem-cmake.bst	buildsystem-cmake	
freedesktop-sdk.bst-components--private-cmake-stage1.bst	cmake-stage1	
freedesktop-sdk.bst-components--private-cryptsetup-base.bst	cryptsetup-base	
freedesktop-sdk.bst-components--private-cryptsetup-lvm2-stage1.bst	cryptsetup-lvm2-stage1	
freedesktop-sdk.bst-components--private-cups-base.bst	cups-base	
freedesktop-sdk.bst-components--private-dbus-base.bst	dbus-base	
freedesktop-sdk.bst-components--private-flex-base.bst	flex-base	
freedesktop-sdk.bst-components--private-freetype-stage1.bst	freetype-stage1	
freedesktop-sdk.bst-components--private-gamemode-base.bst	gamemode-base	
freedesktop-sdk.bst-components--private-gcc-base.bst	gcc-base	
freedesktop-sdk.bst-components--private-geoclue-base.bst	geoclue-base	
freedesktop-sdk.bst-components--private-git-minimal.bst	git-minimal	
freedesktop-sdk.bst-components--private-gnu-efi.bst	gnu-efi	
freedesktop-sdk.bst-components--private-libsmbios.bst	libsmbios	
freedesktop-sdk.bst-components--private-lvm2-base.bst	lvm2-base	
freedesktop-sdk.bst-components--private-lvm2-stage1.bst	lvm2-stage1	
freedesktop-sdk.bst-components--private-meson.bst	meson	
freedesktop-sdk.bst-components--private-pipewire-base.bst	pipewire-base	
freedesktop-sdk.bst-components--private-polkit-base.bst	polkit-base	
freedesktop-sdk.bst-components--private-python3-build-bootstrap.bst	python3-build-bootstrap	
freedesktop-sdk.bst-components--private-python3-build.bst	python3-build	
freedesktop-sdk.bst-components--private-python3-flit-core.bst	python3-flit-core	
freedesktop-sdk.bst-components--private-python3-installer-bootstrap.bst	python3-installer-bootstrap	
freedesktop-sdk.bst-components--private-python3-installer.bst	python3-installer	
freedesktop-sdk.bst-components--private-python3-minimal.bst	python3-minimal	
