ModemManager-glib	1.24.2-1.hum1.bfin
NetworkManager	1.58.0-1.hum1
NetworkManager-config-connectivity-fedora	1.58.1-1.hum1
NetworkManager-libnm	1.58.0-1.hum1
SDL3	3.4.16-1.hum1.bfin
aardvark-dns	2.0.0-2.hum1
abattis-cantarell-fonts	0.301-18.hum1
abattis-cantarell-vf-fonts	0.301-18.hum1
abseil-cpp	20260526.0-1.hum1.bfin
accountsservice	26.27.3-1.hum1.bfin
accountsservice-libs	26.27.3-1.hum1.bfin
adw-gtk3-theme	6.4-1.hum1.bfin
adwaita-cursor-theme	51~beta-1.hum1.bfin
adwaita-fonts-all	51.0-1.hum1.bfin
adwaita-icon-theme	51~beta-1.hum1.bfin
adwaita-icon-theme-legacy	46.2-1.hum1.bfin
adwaita-mono-fonts	51.0-1.hum1.bfin
adwaita-sans-fonts	51.0-1.hum1.bfin
alsa-firmware	1.2.4-18.hum1.bfin
alsa-lib	1.2.16.1-2.1.hum1
alsa-tools-firmware	1.2.15-5.hum1.bfin
alsa-ucm	1.2.16.1-2.1.hum1
alternatives	1.33-5.1.hum1
appstream	1.1.3-3.hum1.bfin
aribb24	1.0.3^20160216git5e9be27-6.hum1.bfin
at-spi2-atk	2.61.1-1.hum1.bfin
at-spi2-core	2.61.1-1.hum1.bfin
atk	2.61.1-1.hum1.bfin
audit	4.2.1-2.hum1
audit-libs	4.2.1-2.hum1
audit-rules	4.2.1-2.hum1
authselect	1.7.1-2.hum1
authselect-libs	1.7.1-2.hum1
avahi-glib	0.9~rc4-0.1.1.hum1
avahi-libs	0.9~rc4-0.1.1.hum1
bash	5.3.15-2.1.hum1
bash-completion	2.18-1.hum1
bind-libs	9.20.29-0.1.hum1
bind-utils	9.20.29-0.1.hum1
binutils	2.46.1-1.2.hum1
bluez	5.87-7.hum1.bfin
bluez-libs	5.87-7.hum1.bfin
bluez-obexd	5.87-7.hum1.bfin
boost-atomic	1.90.0-13.hum1
boost-chrono	1.90.0-13.hum1
boost-container	1.90.0-13.hum1
boost-date-time	1.90.0-13.hum1
boost-thread	1.90.0-13.hum1
bootc	1.16.7-1.hum1
bootupd	0.3.2-1.hum1
btrfs-progs	7.1-1.hum1
bubblewrap	0.11.2-2.hum1
bzip2-libs	1.0.8-24.hum1
ca-certificates	2025.2.80_v9.0.304-9.hum1
cairo	1.18.4-1.hum1.bfin
cairo-gobject	1.18.4-1.hum1.bfin
catatonit	0.2.1-6.hum1
cdparanoia-libs	10.2-51.hum1.bfin
checkpolicy	3.11-2.hum1
chrony	4.8-3.fc43
cloud-utils-growpart	0.34-2.hum1
cmake-filesystem	4.3.0-5.1.hum1
codec2	1.2.0-10.hum1.bfin
color-filesystem	1-39.hum1.bfin
colord	1.4.8-1.hum1.bfin
colord-gtk4	0.3.1-1.hum1.bfin
colord-libs	1.4.8-1.hum1.bfin
composefs	1.0.8-7.hum1
composefs-libs	1.0.8-7.hum1
conmon	2.2.1-2.hum1
container-selinux	2.250.0-2.hum1
containerd	2.3.4-1.hum1.bfin
containernetworking-plugins	1.9.1-5.hum1
containers-common	0.69.0-1.hum1
containers-common-extra	0.69.0-1.hum1
coreutils-single	9.11-6.hum1
cpio	2.15-10.1.hum1
cpp	16.2.1-2.hum1
cracklib	2.10.3-2.hum1
crun	1.28-2.hum1
crypto-policies	20260731-1.git6488aef.hum1
crypto-policies-config-default	20260731-1.git6488aef.hum1
crypto-policies-scripts	20260731-1.git6488aef.hum1
cryptsetup	2.8.7-1.hum1
cryptsetup-libs	2.8.7-1.hum1
cups-filesystem	2.4.19-4.2.hum1
cups-libs	2.4.19-4.2.hum1
cups-pk-helper	0.2.7-13.hum1.bfin
curl	8.21.0-5.hum1
cyrus-sasl-lib	2.1.28-37.1.hum1
dbus	1.16.2-6.hum1
dbus-broker	37-9.hum1
dbus-common	1.16.2-6.hum1
dbus-libs	1.16.2-6.hum1
dbus-tools	1.16.2-6.hum1
dconf	51~beta-1.hum1.bfin
ddcutil	2.2.1-1.hum1.bfin
default-fonts-core-mono	4.3-3.hum1
default-fonts-core-sans	4.3-3.hum1
default-fonts-core-serif	4.3-3.hum1
device-mapper	1.02.216-1.hum1
device-mapper-event	1.02.216-1.hum1
device-mapper-event-libs	1.02.216-1.hum1
device-mapper-libs	1.02.216-1.hum1
device-mapper-persistent-data	1.3.3-2.hum1.bfin
diffutils	3.12-6.1.hum1
distrobox	1.8.2.5-1.hum1.bfin
dnf5	5.4.2.1-10.hum1
dosfstools	4.2-19.hum1
double-conversion	3.4.0-4.hum1.bfin
dracut	111-2.hum1
dracut-live	111-2.hum1
dracut-network	111-2.hum1
duktape	2.7.0-12.hum1
e2fsprogs	1.47.4-2.hum1
e2fsprogs-libs	1.47.4-2.hum1
efi-filesystem	6-9.hum1
efibootmgr	18-10.fc43
efivar-libs	39-10.fc43
elfutils-debuginfod-client	0.196-1.1.hum1
elfutils-libelf	0.196-1.1.hum1
elfutils-libs	0.196-1.1.hum1
emacs-filesystem	30.2-3.hum1
enchant2	2.8.19-2.hum1.bfin
evolution-data-server	3.61.3-1.hum1.bfin
evolution-data-server-langpacks	3.61.3-1.hum1.bfin
evtest	1.36-3.hum1.bfin
expat	2.8.3-0.1.hum1
fastfetch	2.66.0-2.hum1.bfin
fdk-aac-free	2.0.3-3.hum1.bfin
fedora-logos	42.0.1-6.hum1
fftw-libs-single	3.3.11-0.1.hum1
file	5.48-3.hum1
file-libs	5.48-3.hum1
filesystem	3.18-59.hum1
findutils	4.11.0-1.1.hum1
firewall-config	2.5.1-1.hum1
firewalld	2.5.1-1.hum1
firewalld-filesystem	2.5.1-1.hum1
flac-libs	1.5.0-9.hum1.bfin
flatpak	1.19.0-1.hum1.bfin
flatpak-libs	1.19.0-1.hum1.bfin
flatpak-selinux	1.19.0-1.hum1.bfin
flatpak-session-helper	1.19.0-1.hum1.bfin
flatpak-spawn	1.0.6-1.hum1.bfin
flite	2.2-14.hum1.bfin
fmt	12.1.0-3.hum1
fontconfig	2.18.3-1.hum1
fonts-filesystem	5.0.0-4.hum1
freetype	2.14.3-2.hum1
fribidi	1.0.16-5.hum1.bfin
fstrm	0.6.1-15.hum1
fuse	2.9.9-26.hum1.bfin
fuse-common	3.18.2-2.hum1
fuse-overlayfs	1.17-1.hum1
fuse3	3.18.3-1.hum1
fuse3-libs	3.18.3-1.hum1
fwupd	2.1.7-1.hum1.bfin
fwupd-plugin-uefi-capsule-data	2.1.7-1.hum1.bfin
fxload	2008_10_13-35.hum1.bfin
fzf	0.74.3-1.hum1.bfin
gawk	5.4.1-1.hum1
gcc	16.2.1-2.hum1
gcc-c++	16.2.1-2.hum1
gcr	4.4.0.1-1.hum1.bfin
gcr-libs	4.4.0.1-1.hum1.bfin
gcr3	3.41.1-13.hum1.bfin
gcr3-base	3.41.1-13.hum1.bfin
gdbm-libs	1.23-12.hum1
gdk-pixbuf2	2.44.8-1.hum1.bfin
gdm	51~beta-1.hum1.bfin
geoclue2	2.8.2-1.hum1.bfin
geoclue2-libs	2.8.2-1.hum1.bfin
geocode-glib	3.26.4-1.hum1.bfin
gettext	1.0-3.hum1
gettext-envsubst	1.0-3.hum1
gettext-libs	1.0-3.hum1
gettext-runtime	1.0-3.hum1
git-core	2.55.0-2.hum1
git-credential-libsecret	2.55.0-2.hum1
gjs	1.89.2-1.hum1.bfin
glib-networking	2.90~alpha-1.hum1.bfin
glib2	2.89.3-1.hum1
glibc	2.43-8.5.hum1
glibc-all-langpacks	2.43-8.5.hum1
glibc-common	2.43-8.5.hum1
glibc-devel	2.43-8.5.hum1
glibc-gconv-extra	2.43-8.5.hum1
glibc-minimal-langpack	2.43-8.5.hum1
glx-utils	9.0.0-12.hum1.bfin
glycin-libs	2.2~beta-1.hum1.bfin
glycin-loaders	2.2~beta-1.hum1.bfin
gmp	6.3.0-6.hum1
gnome-autoar	0.5.0-1.hum1.bfin
gnome-bluetooth	47.2-1.hum1.bfin
gnome-bluetooth-libs	47.2-1.hum1.bfin
gnome-control-center	51~beta-1.hum1.bfin
gnome-control-center-filesystem	51~beta-1.hum1.bfin
gnome-desktop3	51~alpha-1.hum1.bfin
gnome-desktop4	51~alpha-1.hum1.bfin
gnome-keyring	50.0-1.hum1.bfin
gnome-keyring-pam	50.0-1.hum1.bfin
gnome-online-accounts	3.58.1-1.hum1.bfin
gnome-online-accounts-libs	3.58.1-1.hum1.bfin
gnome-ponytail-daemon	0.0.11-11.hum1.bfin
gnome-session	51~beta-1.hum1.bfin
gnome-session-wayland-session	51~beta-1.hum1.bfin
gnome-settings-daemon	51~beta-1.hum1.bfin
gnome-shell	51~beta-1.hum1.bfin
gnome-shell-common	51~beta-1.hum1.bfin
gnome-shell-extension-gsconnect	72-3.hum1.bfin
gnome-tweaks	49.0-4.hum1.bfin
gnupg2	2.4.9-18.hum1
gnupg2-dirmngr	2.4.9-18.hum1
gnupg2-gpg-agent	2.4.9-18.hum1
gnupg2-gpgconf	2.4.9-18.hum1
gnupg2-keyboxd	2.4.9-18.hum1
gnupg2-scdaemon	2.4.9-18.hum1
gnupg2-verify	2.4.9-18.hum1
gnutls	3.8.13-1.2.hum1
gobject-introspection	1.86.0-1.hum1.bfin
google-noto-fonts-common	20260601-3.hum1
google-noto-sans-cjk-vf-fonts	2.004-12.hum1.bfin
google-noto-sans-math-fonts	20260601-3.hum1
google-noto-sans-mono-cjk-vf-fonts	2.004-12.hum1.bfin
google-noto-sans-mono-vf-fonts	20260601-3.hum1
google-noto-sans-symbols-2-fonts	20260601-3.hum1
google-noto-sans-vf-fonts	20260601-3.hum1
google-noto-serif-vf-fonts	20260601-3.hum1
gpg-pubkey	567e347ad0044ade55ba8a5f199e2f91fd431d51-4ae0493b
gpg-pubkey	7e4624258c406535d56d6f135054e4a45a6340b3-6229229e
gpg-pubkey	c6e7f081cf80e13146676e88829b606631645531-66b6dccf
gpg-pubkey	fcd355b305707a62da143ab6e422397e50fe8467a2a95343d246d6276afedf8f-68e6a1f3
gpgme	2.0.1-6.hum1
graphene	1.10.8-1.hum1.bfin
